variant,fold_id,station_id,season_or_regime,horizon,actual_event,model_brier,persistence_brier,global_climatology_brier,seasonal_or_regime_climatology_brier
A_p90_exclude_summer,43,Moli del Sol,autumn,7,0,0.33112322882295275,0.0,0.009943899128897865,0.00598781179138322
A_p90_exclude_summer,43,Pista Silla,autumn,7,0,0.22851973124913744,0.0,0.009967819811690147,0.011408179308058276
A_p90_exclude_summer,43,Politecnico,autumn,7,0,0.4304703388496789,0.0,0.009336132022961472,0.013160360562957966
A_p90_exclude_summer,43,Puerto Valencia,autumn,7,1,0.10524850993026388,0.0,0.8147594462416539,0.7464959999999999
A_p90_exclude_summer,44,Avda. Francia,autumn,7,0,0.24249561098246405,0.0,0.008256167239238077,0.01292409972299169
A_p90_exclude_summer,44,Moli del Sol,autumn,7,0,0.26922352728763277,0.0,0.009895197229796253,0.005864988146390452
A_p90_exclude_summer,44,Pista Silla,autumn,7,0,0.1617803894914523,0.0,0.00992302786790994,0.011197894795778393
A_p90_exclude_summer,44,Politecnico,autumn,7,0,0.3353620271832425,0.0,0.009300356539688498,0.012963204389676046
A_p90_exclude_summer,44,Puerto Valencia,autumn,7,0,0.44354336906512276,1.0,0.009580353887627773,0.018595041322314047
A_p90_exclude_summer,45,Avda. Francia,autumn,7,1,0.21080582134459258,1.0,0.8271079011241489,0.7884850467450628
A_p90_exclude_summer,45,Moli del Sol,autumn,7,0,0.32338474109015103,0.0,0.009846852244964135,0.005745905192564324
A_p90_exclude_summer,45,Pista Silla,autumn,7,1,0.2759103863513072,1.0,0.8110968763777656,0.8012948130182129
A_p90_exclude_summer,45,Politecnico,autumn,7,1,0.13994335435203184,1.0,0.8167572664722993,0.786757652492942
A_p90_exclude_summer,45,Puerto Valencia,autumn,7,1,0.06575053618843067,1.0,0.8158168574401664,0.7577765126028674
A_p90_exclude_summer,45,Valencia Centro,autumn,7,0,0.957974918763046,0.0,0.1111111111111111,0.1111111111111111
A_p90_exclude_summer,46,Avda. Francia,autumn,7,0,0.41613447906679096,1.0,0.00859733859239828,0.014557483449801567
A_p90_exclude_summer,46,Moli del Sol,autumn,7,0,0.3681310386347749,0.0,0.006939604267247355,0.004406047696090987
A_p90_exclude_summer,46,Pista Silla,autumn,7,0,0.39173768848658697,1.0,0.008785314099360246,0.010794400404790017
A_p90_exclude_summer,46,Politecnico,autumn,7,0,0.5219306307175468,1.0,0.00949348136477184,0.013796926177878558
A_p90_exclude_summer,46,Puerto Valencia,autumn,7,0,0.689088352501613,1.0,0.010095922712392114,0.024817038844060797
A_p90_exclude_summer,46,Valencia Centro,autumn,7,0,0.8411338315216939,0.0,0.010000000000000002,0.010000000000000002
A_p90_exclude_summer,47,Avda. Francia,autumn,7,0,0.33979809593572435,0.0,0.008629699304249158,0.014633194588969825
A_p90_exclude_summer,47,Moli del Sol,autumn,7,0,0.27829143472977175,0.0,0.00696377483020963,0.0045081632653061225
A_p90_exclude_summer,47,Pista Silla,autumn,7,0,0.3061301727915654,0.0,0.008805902468996318,0.01086745874390662
A_p90_exclude_summer,47,Politecnico,autumn,7,0,0.41502836177513514,0.0,0.009510367171379616,0.01384083044982699
A_p90_exclude_summer,47,Puerto Valencia,autumn,7,0,0.5411358337156076,0.0,0.010190170068365692,0.024605920799692427
A_p90_exclude_summer,47,Valencia Centro,autumn,7,0,0.4350205077574839,0.0,0.0034602076124567475,0.0034602076124567475
A_p90_exclude_summer,48,Avda. Francia,autumn,7,0,0.2609091398348638,0.0,0.008569993137927653,0.014228742851044824
A_p90_exclude_summer,48,Moli del Sol,autumn,7,1,0.2025293136828852,1.0,0.8095630142080629,0.8452552670906613
A_p90_exclude_summer,48,Pista Silla,autumn,7,0,0.17876939528951674,0.0,0.008766684246825428,0.010674263327780093
A_p90_exclude_summer,48,Politecnico,autumn,7,0,0.30564240751728,0.0,0.009474201201033376,0.013639511961212637
A_p90_exclude_summer,48,Puerto Valencia,autumn,7,0,0.46192409205916624,0.0,0.009968823089897076,0.0244140625
A_p90_exclude_summer,48,Valencia Centro,autumn,7,0,0.4400612646762485,0.0,0.015625,0.015625
A_p90_exclude_summer,49,Avda. Francia,autumn,7,0,0.37235776442635377,0.0,0.008602173567543638,0.014306036139946176
A_p90_exclude_summer,49,Moli del Sol,autumn,7,0,0.40790005785223243,0.0,0.007011889225464255,0.00470972702806613
A_p90_exclude_summer,49,Pista Silla,autumn,7,1,0.16281976364607204,1.0,0.8098284170952227,0.7966295923961252
A_p90_exclude_summer,49,Politecnico,autumn,7,0,0.43827603194382214,0.0,0.009491042382757484,0.01368367132612339
A_p90_exclude_summer,49,Puerto Valencia,autumn,7,0,0.5724267849087945,0.0,0.01006182365493065,0.02423894725519022
A_p90_exclude_summer,49,Valencia Centro,autumn,7,0,0.48269571340804174,0.0,0.009365244536940686,0.009365244536940686
A_p90_exclude_summer,50,Avda. Francia,autumn,7,0,0.2993307044680268,0.0,0.008543066783075138,0.013921261256542543
A_p90_exclude_summer,50,Moli del Sol,autumn,7,0,0.30808402748105446,0.0,0.006978044610442355,0.004618719954755396
A_p90_exclude_summer,50,Pista Silla,autumn,7,1,0.22365236764738045,0.0,0.8096576138683492,0.7960754015364224
A_p90_exclude_summer,50,Politecnico,autumn,7,0,0.3480974413906276,0.0,0.009475607704650365,0.013599073869947742
A_p90_exclude_summer,50,Puerto Valencia,autumn,7,1,0.07579875840970589,1.0,0.8086265369150981,0.7137336504161713
A_p90_exclude_summer,50,Valencia Centro,autumn,7,0,0.25726744800969875,0.0,0.006232686980609418,0.006232686980609418
A_p90_exclude_summer,90,Avda. Francia,autumn,7,0,0.2034090385327169,0.0,0.009054609020485866,0.008359183673469387
A_p90_exclude_summer,90,Bulevard Sud,autumn,7,0,0.18583517010357342,0.0,0.009654204975662519,0.008548374684023892
A_p90_exclude_summer,90,Moli del Sol,autumn,7,0,0.32828071959899535,0.0,0.009156146599402438,0.004517905092004569
A_p90_exclude_summer,90,Pista Silla,autumn,7,0,0.06447282443468656,0.0,0.009976512045688972,0.011651140023028281
A_p90_exclude_summer,90,Politecnico,autumn,7,0,0.07692515328810313,0.0,0.00970416585612531,0.013377278217843565
A_p90_exclude_summer,90,Valencia Centro,autumn,7,0,0.011618945150289257,0.0,0.009503184209485385,0.011814744801512287
A_p90_exclude_summer,91,Avda. Francia,autumn,7,0,0.1906721702372617,0.0,0.009000028078599998,0.008202207191171235
A_p90_exclude_summer,91,Bulevard Sud,autumn,7,0,0.21690047647407668,0.0,0.009700994536561,0.0087890625
A_p90_exclude_summer,91,Moli del Sol,autumn,7,0,0.32910638626243566,0.0,0.009115931415873336,0.004456562896747322
A_p90_exclude_summer,91,Pista Silla,autumn,7,0,0.06810749204665935,0.0,0.00993560678237523,0.011507919011252492
A_p90_exclude_summer,91,Politecnico,autumn,7,0,0.07383958344106492,0.0,0.009669940332462849,0.013241400193296027
A_p90_exclude_summer,91,Valencia Centro,autumn,7,0,0.01263912682896715,0.0,0.009098224852071006,0.009611687812379853
A_p90_exclude_summer,92,Avda. Francia,autumn,7,0,0.10715261341264595,0.0,0.008945939172049631,0.007989763116007615
A_p90_exclude_summer,92,Moli del Sol,autumn,7,1,0.33924868131970437,1.0,0.8185400984298424,0.8721190498305351
A_p90_exclude_summer,92,Pista Silla,autumn,7,0,0.02948774388566051,0.0,0.009894952581264438,0.011311804687920327
A_p90_exclude_summer,92,Politecnico,autumn,7,0,0.039966587346813846,0.0,0.009635895554494475,0.01305462207640977
A_p90_exclude_summer,92,Valencia Centro,autumn,7,0,0.0071732630780448605,0.0,0.008718609377268108,0.007431629013079668
A_p90_exclude_summer,93,Avda. Francia,autumn,7,0,0.19078756848610404,0.0,0.008973359552252489,0.008113240700692042
A_p90_exclude_summer,93,Moli del Sol,autumn,7,1,0.25372176074908037,0.0,0.8166552657011633,0.8633092882267152
A_p90_exclude_summer,93,Pista Silla,autumn,7,0,0.07163818315788462,0.0,0.00985454739197613,0.011120661157024793
A_p90_exclude_summer,93,Politecnico,autumn,7,0,0.057127490854404085,0.0,0.009602030251761318,0.01287176819728714
A_p90_exclude_summer,93,Valencia Centro,autumn,7,0,0.011656975606903748,0.0,0.008614507511922262,0.006944444444444444
A_p90_exclude_summer,93,Viveros,autumn,7,0,0.10131898046110473,0.0,0.00806156589051066,0.006986468218110865
A_p90_exclude_summer,94,Avda. Francia,autumn,7,0,0.1692298794052976,0.0,0.008919753086419752,0.007908406098794143
A_p90_exclude_summer,94,Moli del Sol,autumn,7,0,0.2819283904223905,1.0,0.009355506825577236,0.005306784790140783
A_p90_exclude_summer,94,Pista Silla,autumn,7,0,0.07949046944220604,0.0,0.009814389185018556,0.010934321838017753
A_p90_exclude_summer,94,Politecnico,autumn,7,0,0.04880454266982042,0.0,0.00956834316494748,0.012692729389100894
A_p90_exclude_summer,94,Valencia Centro,autumn,7,0,0.02966016515627702,0.0,0.008264462809917356,0.005569169079973267
A_p90_exclude_summer,94,Viveros,autumn,7,0,0.10160524374048906,0.0,0.008042451336735859,0.0069166388890004454
A_p90_exclude_summer,95,Avda. Francia,autumn,7,0,0.2341127809115185,0.0,0.008947048049627397,0.008029187703138449
A_p90_exclude_summer,95,Bulevard Sud,autumn,7,0,0.33935292737195616,0.0,0.009589553823610611,0.008381273556833962
A_p90_exclude_summer,95,Moli del Sol,autumn,7,0,0.35175539056264543,0.0,0.009495932128738898,0.005793567142689841
A_p90_exclude_summer,95,Pista Silla,autumn,7,0,0.1157930135881424,0.0,0.009832057423186021,0.01100123451353206
A_p90_exclude_summer,95,Politecnico,autumn,7,0,0.07409903975706295,0.0,0.009534833045762935,0.012517400254876973
A_p90_exclude_summer,95,Valencia Centro,autumn,7,0,0.0576769300531114,0.0,0.007935328312855067,0.004565376186997809
A_p90_exclude_summer,95,Viveros,autumn,7,0,0.1176987379958122,0.0,0.008015804965575864,0.006820623251899706
A_p90_exclude_summer,96,Avda. Francia,autumn,7,0,0.2566414660286446,0.0,0.008893916174424992,0.00783146683373796
A_p90_exclude_summer,96,Moli del Sol,autumn,7,0,0.4239827290355108,0.0,0.009454677546074531,0.005688572631607427
